Name,Rating,Reviews,Jobs,Interviews,Salaries
Ambuja Cements,3.8,2k,--,148,5.9k
Sify Technologies,3.7,2k,29,144,9.6k
Coromandel International,4.1,2k,16,118,7.3k
Meesho,3.7,2k,217,406,8.7k
Allstate,3.7,2k,30,149,11.8k
Life Insurance Corporation of India,4.4,2k,3,90,4.3k
BHEL,4.1,2k,--,128,5k
Force Motors,3.7,2k,1,139,8k
Microsoft Corporation,3.8,2k,--,598,26.7k
Pfizer,3.9,2k,52,79,5.6k
upGrad,3.4,2k,31,212,8.8k
Daikin Airconditioning India Pvt. Ltd.,4.1,2k,20,194,7.4k
Extramarks Education,3.4,2k,21,169,7.4k
CAMS,3.6,2k,20,138,8.2k
State Street Syntel,3.7,2k,--,79,7.8k
Raymond Lifestyle Limited,4.1,2k,1,107,6.5k
Cargill,3.9,2k,326,107,8k
Ninjacart,3.8,2k,20,101,5.2k
Spark Minda,3.9,2k,13,148,6.8k
Renault-Nissan,4.1,2k,--,118,7.6k
BNP Paribas,3.7,2k,1k,202,16.7k
Reliance Trends,4.1,2k,--,121,4.2k
Future Generali India Life Insurance,3.5,2k,22,113,6.7k
Power Mech Projects,3.8,2k,5,113,6.3k
Bharat Petroleum,4.1,2k,--,168,6.5k
Mercedes-Benz Research and Development India,3.7,1.9k,120,203,17k
Poonawalla Fincorp,3.5,1.9k,12,72,5.4k
FirstCry,3.6,1.9k,6,202,8.3k
Brakes India,3.9,1.9k,6,89,6.8k
Delphi TVS,3.9,1.9k,2,93,5.4k
ITC Hotels,4.1,1.9k,--,96,5.1k
Kotak Securities,3.5,1.9k,27,135,9.1k
Saint-Gobain,3.9,1.9k,90,194,10.8k
Nuvoco Vistas,4.1,1.9k,12,117,6.6k
Reliance General Insurance,3.6,1.9k,12,95,6.9k
HSBC Electronic Data Processing,4.1,1.9k,--,81,8.6k
GAO Tek,4.4,1.9k,--,423,241
CitiusTech,3.2,1.9k,117,304,13.7k
SAP,4.1,1.9k,146,303,16.6k
JK Tyres,3.6,1.9k,--,112,6.7k
YASH Technologies,3.7,1.9k,729,165,15.9k
SGS,3.8,1.9k,135,114,5.9k
Novartis,4.2,1.9k,296,162,9.4k
Morgan Stanley,3.6,1.9k,9,322,24.3k
Biological E,4.2,1.9k,41,131,6.8k
Jio Platforms,3.4,1.9k,--,236,12.7k
L&T Energy Hydrocarbon,3.8,1.9k,--,114,8k
Infinite Computer Solutions,3.3,1.9k,242,165,14.1k
Tata Motors Finance,4.0,1.9k,1,69,4.4k
IDBI Bank,3.4,1.9k,--,75,6k
AECOM,4.2,1.9k,368,138,6.6k
Newgen Software Technologies,3.8,1.8k,17,198,11.2k
Google,4.4,1.8k,525,959,27.8k
Paisabazaar.com,3.4,1.8k,67,159,6.8k
Parle Products,3.9,1.8k,9,108,3.6k
Honeywell Automation,3.8,1.8k,--,125,11.5k
EPAM Systems,3.7,1.8k,164,593,19.7k
Senco Gold,4.4,1.8k,1,578,1.4k
NCR Corporation,3.6,1.8k,49,142,9k
Philips,3.8,1.8k,102,173,10.5k
Narayana Health,3.9,1.8k,80,84,5.8k
Gabriel India Limited,4.1,1.8k,--,125,5.7k
Crisil,3.6,1.8k,608,206,12.5k
R.R. Donnelley,3.7,1.8k,22,125,9.7k
Uflex,3.8,1.8k,65,123,6.6k
Microland,3.4,1.8k,527,142,10.5k
Dr Lal PathLabs,4.2,1.8k,91,162,4.3k
Lucas-TVS,3.9,1.8k,2,89,5.8k
Aditya Birla Health Insurance Co,3.8,1.8k,5,114,7k
Altruist Technologies,3.1,1.8k,10,151,8k
Spinny,3.7,1.8k,29,194,6.9k
Manipal Hospitals,4.0,1.8k,64,121,6.2k
Motherson Automotive Technologies and Engineering,3.8,1.8k,13,143,7.2k
Iris Software,3.8,1.8k,474,201,7.4k
Adecco Group,3.7,1.8k,6,112,6.9k
Safexpress,3.9,1.8k,4,119,5.5k
Angel One,3.7,1.8k,16,156,7.3k
Globiva,3.1,1.8k,129,127,5k
G R Infraprojects,4.1,1.8k,31,154,5.3k
KENT RO Systems,3.8,1.8k,7,94,4.5k
K12 Techno Services,3.6,1.8k,297,364,5k
Stellar Migration,1.3,1.8k,--,2,--
V-Guard Industries,4.3,1.8k,15,87,4.4k
CMS Infosystems,3.5,1.8k,7,70,4.5k
NTPC,4.3,1.8k,--,172,4.2k
Haier Appliances India,4.0,1.8k,13,158,6.7k
TVS Sundram Fasteners,3.6,1.8k,--,87,6.5k
Hindustan Aeronautics,4.2,1.8k,--,82,4.2k
DHL Supply Chain,4.2,1.8k,12,105,5.9k
Thomson Reuters,4.0,1.8k,39,129,10.2k
HTC Global Services,3.4,1.8k,75,156,12.5k
Aragen Life Sciences,3.9,1.8k,110,119,6.2k
Trent,3.9,1.8k,19,98,4.4k
